"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","cluster_2"
"67",4,2,2312,1959,612981,0,0,1
"68",4,2,1986,1973,427784,0,0,0
"69",3,2,1353,1969,374546,0,0,0
"70",3,2,1625,1983,405395,0,0,0
"71",3,2.5,2271,2014,456760,0,0,0
"72",3,2.5,1508,2001,345874,0,0,0
"73",5,4,2971,1974,210249,0,0,0
"74",3,2,1492,2003,377967,0,0,0
"75",3,2,1665,1978,183494,0,0,0
"76",2,1,688,1966,84880,0,0,0
"77",4,3,3259,1996,546048,0,0,1
"78",3,2,1252,1964,393082,0,0,0
"79",3,2,1375,1964,452514,0,0,0
"80",3,2,1398,1965,59976,0,0,0
"81",3,1,996,1963,246752,0,0,0
"82",4,2.5,2167,1996,443722,0,0,0
"83",3,2.5,1415,1985,426222,0,0,0
"84",2,2,1510,1953,442716,0,0,0
"85",4,1.5,1226,1961,210685,0,0,0
"86",4,2,2049,1971,223931,0,0,0
"87",4,2,1386,1957,522853,0,0,1
"88",3,2,1225,1972,188794,0,0,0
"89",4,3,2502,2006,680000,0,0,1
"90",4,3,2459,1970,281060,0,0,0
"91",3,1,1186,1912,280159,0,0,0
"92",4,2.5,2358,1997,358763,0,0,0
"93",4,2,1806,1968,296624,0,0,0
"94",5,3,2989,2006,332870,0,0,0
"95",4,2,1401,1954,183235,0,0,0
"96",2,1.5,930,1965,247967,0,0,0
"97",4,3.5,2709,1992,395155,0,0,0
"98",3,2,1602,1926,543158,0,0,1
"99",4,2.5,2839,1980,582070,1,0,1
"100",5,3,3051,1989,586715,0,0,1
"101",3,2,1205,1964,68840,0,0,0
"102",3,2.5,2463,1988,644683,0,0,1
"103",2,1,1418,1949,382000,0,0,0
"104",4,2.5,2695,1972,269038,1,0,0
"105",3,2,2356,1984,428785,0,0,0
"106",4,2.5,1830,1984,267023,0,0,0
"107",4,3.5,2785,1961,693806,1,0,1
"108",2,1,998,1954,204721,0,0,0
"109",4,2,1110,1955,259736,0,0,0
"110",4,3,1870,1955,302274,0,0,0
"111",3,2,1325,1961,492500,0,0,0
"112",2,2,1609,1976,717550,0,0,1
"113",4,4,3260,2010,933375,0,0,1
"114",2,1,803,1972,131941,0,0,0
"115",3,2,1309,1978,583768,0,0,1
"116",3,2,1705,1964,307220,1,0,0
"117",2,1,1156,1985,315000,0,0,0
"118",4,2.5,2303,1987,292913,0,0,0
"119",4,1.5,1227,1961,160978,0,0,0
"120",3,2,1464,1972,218653,0,0,0
"121",4,3,1571,1961,324648,0,0,0
"122",3,2,1153,1984,224918,0,0,0
"123",2,2,967,1973,130406,0,0,0
"124",3,2,1505,1961,53743,0,0,0
"125",3,2,1513,1963,201742,0,0,0
"126",4,2.5,2270,1978,180990,0,0,0
"127",3,2.5,1853,1985,446162,0,0,0
"128",3,2,1977,1964,249962,0,0,0
"129",4,3,2322,1995,165203,0,0,0
"130",3,2.5,1742,1999,456000,0,0,0
"131",3,2,1549,1980,226555,0,0,0
"132",3,2,1427,1964,228677,1,0,0
"133",4,2,1430,1964,64328,0,0,0
"134",4,2.5,3136,1971,1374840,1,0,1
"135",2,1,925,1974,184422,0,0,0
"136",3,2,1371,1959,331332,0,0,0
"137",3,1,1151,1956,237353,0,0,0
"138",3,2,1148,1978,183479,0,0,0
"139",2,1,882,1976,149346,0,0,0
"140",4,2,2180,1979,498158,1,0,0
"141",3,2,1070,1964,378784,0,0,0
"142",3,1,758,1948,82536,0,0,0
"143",4,2,1987,1963,573792,0,0,1
"144",3,2,1566,1970,539000,1,0,1
"145",4,2,1308,1962,347838,0,0,0
"146",4,3,1617,1960,474272,0,0,0
"147",4,3,1552,1966,225662,0,0,0
"148",3,2,1605,1955,210239,0,0,0
"149",3,2.5,1970,1989,429158,0,0,0
"150",5,2.5,1965,1962,463898,0,0,0
"151",2,1,1068,1949,270560,0,0,0
"152",2,1.5,984,1986,412140,0,0,0
"153",4,3,1656,1961,1001361,0,0,1
"154",2,2,1070,1976,299734,0,0,0
"155",3,2.5,1785,1980,349992,0,0,0
"156",4,1.5,1226,1961,155016,0,0,0
"157",3,3,2107,1964,125581,0,0,0
"158",4,4.5,4502,2006,988000,1,0,1
"159",4,2,1700,1973,201925,0,0,0
"160",2,2,1075,2007,252970,0,0,0
"161",4,4.5,3500,1996,631853,0,0,1
"162",3,2.5,2082,2006,413133,0,0,0
"163",3,2.5,1159,1979,220785,0,0,0
"164",4,2,1768,1965,69271,0,0,0
"165",3,2,1141,1963,250190,0,0,0
"166",3,2,1299,1963,369278,0,0,0
"167",3,2,1348,1963,61001,0,0,0
"168",2,1,1004,1939,413364,0,0,0
"169",4,3,2633,1961,258800,1,0,0
"170",4,2.5,2926,1979,609581,0,0,1
"171",3,2,1281,1979,424567,0,0,0
"172",4,2,1611,1980,165972,0,0,0
"173",5,4,3129,2005,804000,0,0,1
"174",3,2,1794,1981,557547,0,0,1
"175",3,1.5,1050,1959,294158,0,0,0
"176",2,1,910,1973,231248,0,0,0
"177",3,1,1464,1937,321665,0,0,0
"178",4,2,1642,1900,130461,0,0,0
"179",4,3.5,3210,1989,633502,0,0,1
"180",3,3,1895,1999,318693,0,0,0
"181",3,2,1080,1972,339112,0,0,0
"182",3,2,1135,1974,168605,0,0,0
"183",4,3,1969,1990,458892,0,0,0
"184",4,2,1570,1960,65145,0,0,0
"185",3,2,1620,1963,552582,0,0,1
"186",4,2,2105,2001,349343,0,0,0
"187",3,2,1559,1974,530000,0,0,1
"188",3,2,824,1925,317017,0,0,0
"189",4,3,2673,1987,410333,1,0,0
"190",3,2,1280,1961,62577,0,0,0
"191",2,2,1278,1952,149339,0,0,0
"192",3,2,1509,1963,71764,0,0,0
"193",5,3,2965,1983,790000,1,0,1
"194",3,2,1241,1973,393895,0,0,0
"195",3,3,2404,1961,143389,0,0,0
"196",2,2.5,1164,1985,293000,0,0,0
"197",3,2,1051,1974,284000,0,0,0
"198",4,2.5,2621,1990,460876,0,0,0
"199",3,2,1614,1980,185476,0,0,0
"200",2,2,988,1977,174552,0,0,0
"201",3,2,1268,1960,53743,0,0,0
"202",4,3,2260,1971,143821,0,0,0
"203",3,2,1209,1964,326792,0,0,0
"204",3,2,1645,1980,436894,0,0,0
"205",2,1,1248,1929,103264,0,0,0
"206",3,2.5,1280,1987,211274,0,0,0
"207",4,2.5,1978,1976,530514,1,0,1
"208",4,2.5,1517,1994,470000,0,0,0
"209",3,2,1195,1964,185679,0,0,0
"210",3,2,1472,1964,306092,1,0,0
"211",3,2,1125,1962,206495,0,0,0
"212",4,3,2694,1986,514193,1,0,1
"213",2,1,853,1978,145379,0,0,0
"214",3,2,1236,1969,257740,0,0,0
"215",2,1.5,1204,1979,298542,0,0,0
"216",2,1,777,1986,239880,0,0,0
"217",2,2.5,1626,1974,536202,0,0,1
"218",4,2.5,2270,1978,236464,0,0,0
"219",3,2,1144,1999,220571,0,0,0
"220",3,2,1280,1972,157520,0,0,0
"221",3,2.5,2434,1978,656778,0,0,1
"222",2,1,1142,1937,553311,0,0,1
"223",4,2,1536,1965,496000,0,0,0
"224",4,2,1816,1970,565000,0,0,1
"225",4,3.5,2382,1989,496285,1,0,0
"226",3,1,1564,1955,391000,0,0,0
"227",4,2,1427,1994,229128,0,0,0
"228",4,3,2096,1976,722000,0,0,1
"229",4,2,1578,1977,198717,0,0,0
"230",3,3,1755,1948,480159,0,0,0
"231",5,2.5,2498,1967,519073,1,0,1
"232",3,2,1160,1951,46548,0,0,0
"233",4,2.5,2007,1996,679610,0,0,1
"234",5,3,2646,1988,1227436,1,0,1
"235",4,2.5,2026,1970,164402,0,0,0
"236",5,3,3394,2003,1031000,1,0,1
"237",3,2,1498,1962,182961,0,0,0
"238",4,3,2288,1987,614225,0,0,1
"239",2,2,1635,1973,218711,0,0,0
"240",3,1,961,1955,57914,0,0,0
"241",4,3,2056,1999,696203,0,0,1
"242",2,2,991,2006,245094,0,0,0
"243",4,3.5,3171,1960,1155767,1,0,1
"244",3,3,1560,1992,336600,0,0,0
"245",3,2,2293,1965,372114,0,0,0
"246",3,2.5,1648,1995,168451,0,0,0
"247",5,4.5,3603,1987,694914,0,0,1
"248",2,1,882,1971,117621,0,0,0
"249",4,3,2359,1995,468771,0,0,0
"250",4,3,2211,1989,467525,0,0,0
"251",4,2.5,1725,1964,454438,0,0,0
"252",3,2,1827,1969,543347,0,0,1
"253",4,2,1961,1962,628000,0,0,1
"254",3,2.5,1766,1982,602000,0,0,1
"255",3,2,1646,1987,375693,0,0,0
"256",4,3.5,2475,1988,523958,1,0,1
"257",0,2,1092,1974,258270,0,0,0
"258",3,1.5,1241,1974,331000,0,0,0
"259",2,2,1456,1980,395000,0,0,0
"260",2,1,640,1940,21675,0,0,0
"261",3,2.5,1332,2005,282464,0,0,0
"262",3,2,1205,1964,56864,0,0,0
"263",4,1.5,1226,1962,150475,0,0,0
"264",3,1.5,1551,1957,485000,0,0,0
"265",3,2,1431,1978,135769,0,0,0
"266",3,2.5,2085,1976,139791,0,0,0
"267",3,2,1432,1960,303494,0,0,0
"268",3,1,1040,1964,213991,0,0,0
"269",4,3,2727,1977,870050,0,0,1
"270",2,1,942,1935,181720,0,0,0
"271",3,2.5,1901,1989,372787,0,0,0
"272",2,2,1267,1987,193835,0,0,0
"273",3,2.5,1332,1985,455632,0,0,0
"274",3,2,1181,1961,370732,0,0,0
"275",2,2,986,2000,81167,0,0,0
"276",3,2,1081,1995,313526,0,0,0
"277",3,2,1435,1977,181845,0,0,0
"278",3,2,1575,1978,276633,0,0,0
"279",2,2.5,1204,1989,259738,0,0,0
"280",4,2,1687,1977,186022,0,0,0
"281",3,2.5,1270,1978,128128,0,0,0
"282",4,2.5,2956,1969,862961,1,0,1
"283",3,1,944,1960,407928,0,0,0
"284",3,2,1569,1978,455476,0,0,0
"285",3,2.5,2368,1979,603333,0,0,1
"286",4,3,2666,1963,405841,1,0,0
"287",2,2.5,1693,1987,369136,0,0,0
"288",3,1.5,1295,1980,160977,0,0,0
"289",4,2.5,2266,1968,123861,1,0,0
"290",4,2.5,2495,1986,364224,0,0,0
"291",3,2,1360,1970,489000,0,0,0
"292",3,2,1238,1964,287656,0,0,0
"293",3,2.5,1573,1982,289947,0,0,0
"294",4,3.5,3825,2000,1203000,1,0,1
"295",4,1.5,1444,1956,196337,0,0,0
"296",3,2.5,1332,1985,221483,0,0,0
"297",5,2.5,2232,1965,495490,1,0,0
"298",2,1,750,1986,274117,0,0,0
"299",3,2,1473,1984,543158,0,0,1
"300",3,2,1407,1974,65695,0,0,0
"301",3,2,1229,1970,253087,1,0,0
"302",4,2.5,1751,2013,330333,0,0,0
"303",4,2,1773,1982,265759,0,0,0
"304",4,3,3101,1960,328944,0,0,0
"305",4,3,1988,1998,361848,0,0,0
"306",4,3.5,2418,1991,582527,0,0,1
"307",3,2.5,1573,1994,513000,0,0,1
"308",4,3,1781,1972,251597,0,0,0
"309",2,2,1359,1988,127196,0,0,0
"310",4,2,2270,1969,292602,0,0,0
"311",4,1.5,1462,1972,65145,0,0,0
"312",3,2,1269,1963,344416,0,0,0
"313",4,2,1823,1976,305841,0,0,0
"314",4,3,2609,2000,814000,0,0,1
"315",4,2,1233,1955,240076,0,0,0
"316",5,2,1596,1963,239398,0,0,0
"317",4,2.5,2600,1988,921623,0,0,1
"318",5,3,2808,1970,185206,0,0,0
"319",4,2,1835,1964,486000,0,0,0
"320",4,2,1664,1961,412961,1,0,0
"321",4,3,1859,1994,857000,1,0,1
"322",3,2,1284,1989,253880,0,0,0
"323",2,2.5,1316,2001,360750,0,0,0
"324",5,3,2048,1965,216106,0,0,0
"325",2,2.5,1376,1982,297502,0,0,0
"326",2,1,882,1971,216357,0,0,0
"327",4,4.5,4007,2000,1535798,1,0,1
"328",4,2.5,2247,2002,441391,1,0,0
"329",3,2,2105,2002,497876,0,0,0
"330",3,2,1712,1977,330416,0,0,0
"331",2,2,1441,1983,233305,0,0,0
"332",3,2.5,1631,2001,519835,0,0,1
"333",4,2.5,2258,2003,346318,0,0,0
"334",1,1,649,1974,359830,0,0,0
"335",3,2,1220,1961,443664,0,0,0
"336",3,2,1555,1965,663000,0,0,1
"337",2,1,972,1953,190624,0,0,0
"338",5,2,2270,1964,100135,1,0,0
"339",2,2.5,1465,1990,393810,0,0,0
"340",4,2,1580,1964,436894,1,0,0
"341",2,1.5,1199,1977,121919,0,0,0
"342",4,2.5,4219,1987,973352,1,0,1
"343",3,2,1595,1951,456000,0,0,0
"344",3,3,2504,2001,580818,0,0,1
"345",3,2.5,2372,1990,377655,0,0,0
"346",4,2.5,2026,1970,488206,0,0,0
"347",2,2,1294,1980,216165,0,0,0
"348",4,3,1924,1973,443800,0,0,0
"349",2,2,1218,1987,301484,0,0,0
"350",2,1,856,1971,112032,0,0,0
"351",3,3,2717,1981,445345,0,0,0
"352",3,2,1403,1968,379000,0,0,0
"353",3,2.5,1749,1989,380736,0,0,0
"354",2,1,672,1925,162516,0,0,0
"355",4,2,1621,1968,69589,0,0,0
"356",4,3,2209,1987,540916,0,0,1
"357",4,2,1368,1958,101217,0,0,0
"358",2,1,1040,1928,44427,0,0,0
"359",6,2.5,2828,1965,574788,0,0,1
"360",3,2,1834,1963,357547,0,0,0
"361",2,2,946,1985,239880,0,0,0
"362",4,3.5,4398,1973,529077,1,0,1
"363",4,2.5,1835,1979,175587,0,0,0
"364",3,2.5,1660,1987,398000,0,0,0
"365",0,1,384,1949,156821,0,0,0
"366",2,2,1627,1985,481729,0,0,0
"367",3,1,1002,1962,322000,0,0,0
"368",3,2.5,2415,1962,546118,0,0,1
"369",3,2,1114,1990,332871,0,0,0
"370",3,2,1288,1959,199525,0,0,0
"371",3,2.5,1415,1987,232802,0,0,0
"372",5,2,1786,1965,375485,0,0,0
"373",2,1,859,1953,154457,0,0,0
"374",3,2,1240,1962,328191,0,0,0
"375",3,2,1316,1951,364215,0,0,0
"376",4,2.5,1984,1993,619465,1,0,1
"377",3,1,944,1960,49611,0,0,0
"378",4,2.5,2402,2014,666911,0,0,1
"379",4,3,2612,1983,358944,0,0,0
"380",3,2,1144,1950,43390,0,0,0
"381",4,2,1950,1993,547000,0,0,1
"382",4,3,3173,1982,758538,1,0,1
"383",3,1.5,1214,1962,132280,0,0,0
"384",5,3,1932,1964,318075,0,0,0
"385",6,1.5,1641,1950,279801,0,0,0
"386",5,4,2146,1979,311242,0,0,0
"387",4,3,2955,2004,636618,0,0,1
"388",3,3,2609,2002,817000,0,0,1
"389",2,2,1025,1986,307000,0,0,0
"390",3,2,1446,1973,246243,0,0,0
"391",3,2,1038,1959,203228,0,0,0
"392",5,2.5,2584,1985,710674,1,0,1
"393",4,3.5,3622,1955,381139,0,0,0
"394",5,2.5,2417,1998,618532,0,0,1
"395",4,2,2017,1958,314214,0,0,0
"396",5,3,2909,1984,666000,0,0,1
"397",3,2,1435,1961,498000,0,0,0
"398",3,1,1040,1964,136510,0,0,0
"399",3,2.5,2031,2010,313740,0,0,0
"400",3,2,1122,1980,299785,0,0,0
"401",2,2,1378,1977,410000,0,0,0
"402",4,2.5,1725,1964,305632,1,0,0
"403",3,2.5,1776,2004,416668,0,0,0
"404",3,2,1968,1965,290087,0,0,0
"405",3,2.5,1681,2006,450262,0,0,0
"406",3,2.5,1340,1984,194385,0,0,0
"407",4,2,2154,1978,276635,0,0,0
"408",4,2.5,1517,1994,416085,0,0,0
"409",4,2.5,1950,1980,199908,0,0,0
"410",3,2.5,2174,1989,430106,0,0,0
"411",4,3,3211,1985,1553300,0,0,1
"412",4,3,2967,1979,438346,0,0,0
"413",3,2.5,1948,1991,464523,0,0,0
"414",4,3,2530,2001,366105,0,0,0
"415",3,2.5,1294,1997,206161,0,0,0
"416",3,2.5,1733,1996,440122,0,0,0
"417",2,2.5,1263,1986,157112,0,0,0
"418",4,1,2023,1940,226750,0,0,0
"419",4,2,1077,1948,396000,0,0,0
"420",3,1.5,1399,1957,271465,0,0,0
"421",3,2,1074,1962,151913,0,0,0
"422",2,2,942,1977,167744,0,0,0
"423",4,2,1612,1964,254218,1,0,0
"424",4,2,1611,1980,272633,0,0,0
"425",4,2.5,2170,1980,229831,0,0,0
"426",2,2,1089,1930,36146,0,0,0
"427",4,3,2351,1958,116694,0,0,0
"428",4,2,1899,1977,123972,0,0,0
"429",4,4,3798,1999,994111,1,0,1
"430",4,2,1715,1977,534290,0,0,1
"431",2,1,1008,1953,453587,0,0,0
"432",2,1.5,1012,1980,255150,0,0,0
"433",3,2.5,1734,2015,537980,0,0,1
"434",3,2,1112,1955,170750,0,0,0
"435",6,3,3089,1968,419973,0,0,0
"436",6,4,2540,1955,460046,0,0,0
"437",4,4.5,3477,1987,1320305,1,0,1
"438",5,4.5,3795,1995,800868,0,0,1
"439",3,2,2018,1988,494078,1,0,0
"440",3,1.5,1056,1963,231738,0,0,0
"441",4,3,2574,1971,395285,1,0,0
"442",3,2.5,1336,2013,271118,0,0,0
"443",2,2,1178,1965,253812,0,0,0
"444",5,4,3102,2000,694589,0,0,1
"445",2,2,1190,1980,375000,0,0,0
"446",4,3,2123,1994,777000,0,0,1
"447",4,2,2154,1978,496412,0,0,0
"448",4,2,1458,1979,325070,0,0,0
"449",4,2,2178,1965,449136,0,0,0
"450",3,2,2499,1989,387740,0,0,0
"451",4,2,2037,1978,602000,1,0,1
"452",3,1.5,1300,1955,201993,1,0,0
"453",3,2,1026,1960,48866,0,0,0
"454",5,3,2531,1966,128793,0,0,0
"455",4,3,3032,2002,650048,1,0,1
"456",3,2,1498,1978,184720,0,0,0
"457",4,2,1431,1971,65078,0,0,0
"458",2,2.5,1251,1985,423531,0,0,0
"459",3,2,1241,1973,388178,0,0,0
"460",3,2,1153,1972,137656,0,0,0
"461",3,1,1180,1951,43396,0,0,0
"462",2,1,704,1927,88230,0,0,0
"463",2,2.5,1502,1994,259216,0,0,0
"464",1,1,780,1990,266290,0,0,0
"465",3,2,1628,1959,66037,0,0,0
"466",4,2,1826,1976,121343,1,0,0
"467",1,1,888,1965,226400,0,0,0
"468",3,2,1170,1959,67459,0,0,0
"469",5,4.5,3417,2005,680000,0,0,1
"470",4,3.5,3178,1998,581286,0,0,1
"471",4,2,1507,1973,312808,0,0,0
"472",4,3,2187,1961,338046,1,0,0
"473",3,2,1446,1973,296648,0,0,0
"474",3,1,1203,1946,93739,0,0,0
"475",2,1,3126,1989,361009,0,0,0
"476",4,2,2144,1969,611346,0,0,1
"477",5,3,2337,1970,99578,1,0,0
"478",3,2.5,1678,1957,544264,1,0,1
"479",3,2.5,1912,1960,188101,0,0,0
"480",3,2.5,1579,1990,256527,0,0,0
"481",4,3,2485,1990,675710,0,0,1
"482",4,2,1594,1959,327670,0,0,0
"483",4,3.5,3800,2007,737418,0,0,1
"484",4,3,2095,2005,386010,0,0,0
"485",4,2.5,2594,1969,86902,1,0,0
"486",3,2,1640,2005,454000,0,0,0
"487",4,4,3129,2006,599172,0,0,1
"488",3,2.5,1511,1997,487000,0,0,0
"489",4,2,1524,1957,59930,0,0,0
"490",3,2,1054,1958,193646,0,0,0
"491",3,2,1384,1978,478634,0,0,0
"492",1,1,514,1978,177668,0,0,0
"493",4,3,1890,1986,480000,0,0,0
"494",2,2,1169,1965,168604,0,0,0
"495",2,1,856,1971,199000,0,0,0
"496",4,2,1891,1976,436763,0,0,0
"497",3,3,2776,1989,569985,0,0,1
"498",3,1.5,1152,1976,173742,0,0,0
"499",2,1,900,1953,385794,0,0,0
"500",3,2,1625,1972,440100,0,0,0
"501",3,2,1402,1970,113833,0,0,0
"502",5,3,2399,1976,775000,1,0,1
"503",4,2.5,1623,1986,243498,0,0,0
"504",2,3.5,2769,2002,917587,0,0,1
"505",3,2,1599,1976,365063,0,0,0
"506",3,2.5,1776,2005,521000,0,0,1
"507",3,3,1685,1961,372596,0,0,0
"508",4,2,1612,1964,140621,0,0,0
"509",3,2,1798,1964,435121,0,0,0
"510",5,3.5,4017,1981,714827,1,0,1
"511",3,2,1666,1964,358224,1,0,0
"512",3,2,1420,1968,243680,0,0,0
"513",3,2.5,1535,1980,70208,0,0,0
"514",4,2,1960,1954,540462,0,0,1
"515",2,2,1661,1979,331532,0,0,0
"516",2,1.5,1901,1964,322182,1,0,0
"517",3,2.5,1439,1978,229751,0,0,0
"518",3,2,1580,1962,893900,0,0,1
"519",3,3,1353,1986,303496,0,0,0
"520",4,3.5,4078,1988,792483,0,0,1
"521",5,3,3153,1995,740116,0,0,1
"522",2,2,1376,1976,810000,0,0,1
"523",3,2.5,1828,1962,72402,1,0,0
"524",3,2,1443,1961,583768,1,0,1
"525",3,2,1813,1989,345157,0,0,0
"526",3,2,1115,1959,190297,0,0,0
"527",3,2,1446,1970,417802,0,0,0
"528",5,3.5,3372,2005,747000,0,0,1
"529",3,2.5,2398,1976,184372,1,0,0
"530",4,2,1988,1979,409856,0,0,0
"531",3,3.5,1534,1957,344269,0,0,0
"532",3,3,1535,1984,131035,0,0,0
"533",4,3,3022,1987,505871,0,0,0
"534",3,3,2044,1970,652384,0,0,1
"535",3,2.5,1715,1991,405904,0,0,0
"536",4,3.5,3099,1998,793000,1,0,1
"537",5,2.5,2390,1968,658900,1,0,1
"538",5,4.5,3852,2005,986000,1,0,1
"539",3,2,2123,2001,450568,0,0,0
"540",3,2.5,1719,1986,438252,0,0,0
"541",4,2,1512,1971,326153,0,0,0
"542",4,2,1641,1980,526078,0,0,1
"543",4,2.5,2366,1972,102331,0,0,0
"544",3,2,2574,2000,197264,0,0,0
"545",3,2.5,1403,1961,49616,0,0,0
"546",2,1,859,1972,110277,0,0,0
"547",3,2.5,1579,1989,422076,0,0,0
"548",3,1.5,1295,1980,299733,0,0,0
"549",4,4.5,3886,2006,910000,1,0,1
"550",3,2.5,2209,1968,6e+05,0,0,1
"551",2,2,1856,1981,157000,0,0,0
"552",1,3,2780,2001,144489,0,0,0
"553",3,2,1882,1938,88967,0,0,0
"554",3,2,1989,1962,112961,1,0,0
"555",4,3,3187,1987,532776,1,0,1
"556",3,2,1971,1980,652384,0,0,1
"557",3,2,1611,1979,201780,0,0,0
"558",2,2,1154,2006,256236,0,0,0
"559",3,2.5,1762,1987,297402,0,0,0
"560",3,2,1359,1981,960324,0,0,1
"561",2,1,911,1971,167754,0,0,0
"562",4,2.5,1844,1966,81704,0,0,0
"563",4,2,1918,1976,106879,0,0,0
"564",2,2,1104,1990,357000,0,0,0
"565",3,1.5,1532,1976,216916,0,0,0
"566",4,3,2488,1986,780000,1,0,1
"567",4,3.5,3770,1999,881000,0,0,1
"568",4,3.5,3327,2001,845068,0,0,1
"569",3,2.5,1744,2003,450455,0,0,0
"570",4,2,1615,1971,137879,0,0,0
"571",3,2,1266,1973,496230,0,0,0
"572",3,2,1398,1968,277411,0,0,0
"573",4,2,1310,1976,435120,0,0,0
"574",5,5,4617,1936,152163,0,0,0
"575",3,2.5,1536,1978,360750,0,0,0
"576",4,5,2034,1977,333713,1,0,0
"577",2,2,1332,1990,258888,0,0,0
"578",5,3,2643,1987,379789,0,0,0
"579",4,2.5,2333,1977,286943,0,0,0
"580",2,2,1240,1980,379000,0,0,0
"581",3,2,1205,1964,285208,0,0,0
"582",5,2,2098,1972,371622,1,0,0
"583",2,1,697,1928,327744,0,0,0
"584",3,2.5,2688,1972,1022605,0,0,1
"585",3,2,1460,1962,64441,0,0,0
"586",3,3,3259,1998,857000,0,0,1
"587",3,2,2420,2005,516000,0,0,1
"588",3,2,1513,1995,598997,0,0,1
"589",3,1,1080,1964,527929,0,0,1
"590",3,2.5,1463,1997,354793,0,0,0
"591",4,2,1431,1973,122396,0,0,0
"592",5,3,2048,1965,283397,1,0,0
"593",4,2,1638,1964,457968,0,0,0
"594",3,2,1384,2008,315000,0,0,0
"595",3,2,1790,1962,329685,0,0,0
"596",3,2.5,1613,1995,419910,0,0,0
"597",3,2,1633,1953,200847,0,0,0
"598",4,2,1717,1972,403190,0,0,0
"599",3,1,1185,1900,490262,0,0,0
"600",3,3,2895,2003,610498,0,0,1
"601",3,2,1066,1961,96050,0,0,0
"602",2,2,1639,1976,449711,0,0,0
"603",3,2,1696,1961,668000,1,0,1
"604",4,2,2152,1970,572124,0,0,1
"605",3,2.5,1723,1985,342659,0,0,0
"606",3,2,1225,1972,356000,0,0,0
"607",3,2,1264,1954,238140,0,0,0
"608",3,2,1128,1960,245840,0,0,0
"609",4,2.5,2184,1978,391394,0,0,0
"610",4,2.5,2439,1970,689000,0,0,1
"611",3,2.5,1623,1996,528448,0,0,1
"612",4,2.5,2152,1965,81719,0,0,0
"613",3,2.5,3047,2005,1192000,0,0,1
