"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"12103",3,2.5,1681,1993,"0","0",-117.826478,33.604313,"2"
"15412",4,2,1426,1963,"1","0",-117.837831,33.812212,"1"
"3233",5,4.5,3602,2004,"0","0",-117.580022,33.481353,"2"
"3957",3,2.5,1696,1986,"0","0",-117.706262,33.576851,"1"
"15525",2,1,794,1972,"0","0",-117.864425,33.884884,"1"
"9319",3,1,1125,1953,"0","0",-117.91867,33.762496,"1"
"11054",3,2,1136,1963,"0","0",-117.973901,33.732009,"1"
"19251",3,2,1218,1964,"0","0",-118.018032,33.749502,"1"
"19933",2,2,1592,1965,"0","0",-117.824219,33.663533,"2"
"10727",3,2,1203,1954,"0","0",-117.920389,33.822986,"1"
"7444",2,2.5,1156,1982,"0","0",-117.772,33.6937,"1"
"19426",3,2,1908,1965,"1","0",-117.964593,33.725253,"1"
"2785",2,1.5,1132,1973,"0","0",-117.970587,33.759698,"1"
"17328",2,1,809,1977,"0","0",-117.758772,33.714985,"1"
"16071",3,2.5,1751,1980,"1","0",-117.990949,33.654102,"1"
"17487",4,3,2386,1983,"0","0",-117.769982,33.889609,"1"
"12300",3,2.5,2912,1977,"0","0",-117.704755,33.472348,"1"
"7103",4,3,2718,1993,"0","0",-117.839736,33.612165,"2"
"12840",2,2.5,1422,1981,"0","0",-118.005487,33.75748,"1"
"17568",2,2,1032,1972,"0","0",-117.976058,33.659023,"1"
"13534",2,2,1600,1993,"0","0",-117.826578,33.604051,"1"
"7131",3,3.5,3076,1992,"0","0",-117.651708,33.588326,"1"
"14060",4,2,1448,1965,"0","0",-117.948392,33.676826,"1"
"19080",3,2.5,2002,1975,"0","0",-117.885039,33.891178,"1"
"10756",2,2,1171,1984,"0","0",-117.795316,33.665148,"1"
"6157",3,2,1356,1986,"0","0",-117.684475,33.658049,"1"
"2864",3,1,1102,1950,"0","0",-117.882779,33.743306,"1"
"4389",4,2,1440,1964,"0","0",-118.035236,33.778456,"1"
"7930",4,2,1498,1962,"0","0",-118.026576,33.855685,"1"
"11220",3,2,1240,1971,"0","0",-117.7193,33.602678,"1"
"19018",3,2,1484,1955,"1","0",-117.957462,33.799983,"1"
"520",3,2,1446,1971,"0","0",-117.854648,33.896798,"1"
"11735",3,2,1332,1955,"0","0",-117.821698,33.747235,"1"
"17772",5,4,3840,1978,"0","0",-117.785592,33.881503,"2"
"7183",3,3,1926,1965,"0","0",-117.860982,33.842365,"1"
"6357",3,2,1153,1954,"0","0",-117.92175,33.753029,"1"
"14877",3,2.5,1654,2012,"0","0",-118.003012,33.818571,"1"
"5016",3,3,1508,1996,"0","0",-117.647959,33.681227,"1"
"14712",2,1,701,1929,"0","0",-117.738603,33.499515,"2"
"5412",3,2,1380,1966,"0","0",-117.959449,33.712316,"1"
"18376",4,3,2356,2003,"0","0",-117.777021,33.647707,"2"
"11959",4,2.5,2260,1975,"0","0",-117.686585,33.640891,"1"
"15588",4,2,1905,1968,"0","0",-117.853688,33.888603,"1"
"17954",3,2.5,1437,1985,"0","0",-117.798101,33.702067,"1"
"12745",4,2.5,2513,1960,"0","0",-117.896128,33.62728,"2"
"877",3,2,1596,1969,"0","1",-118.030658,33.79395,"1"
"4251",4,2.5,2996,1970,"1","0",-117.661134,33.575006,"1"
"386",3,2,2244,1952,"0","0",-117.969287,33.775994,"1"
"9996",3,2,1472,1977,"0","0",-117.647127,33.614855,"1"
"10442",3,2,2044,1950,"0","0",-117.912602,33.877333,"1"
"14202",4,2.5,2345,1975,"1","0",-117.780901,33.854063,"1"
"2843",2,1.5,1040,1984,"0","0",-117.952,33.9243,"1"
"1805",3,1.5,1190,1965,"0","0",-117.825935,33.89581,"1"
"12897",4,2,1404,1962,"0","0",-118.038441,33.739235,"2"
"7677",3,2,2046,1976,"1","0",-117.920956,33.725841,"2"
"7204",3,2.5,2068,1999,"0","0",-117.736571,33.571016,"2"
"8660",3,1.5,1159,1971,"0","0",-118.006435,33.801336,"1"
"14446",3,2,1942,1964,"0","0",-117.844275,33.803395,"1"
"3567",3,2.5,1531,1989,"0","0",-117.906,33.6521,"1"
"19894",4,2,1118,1954,"0","0",-117.910699,33.778785,"1"
"1683",4,2,1767,1966,"0","0",-117.814519,33.868204,"1"
"12818",5,4.5,4283,2013,"1","0",-117.806253,33.819054,"2"
"15052",2,1,861,1971,"0","0",-117.980536,33.705206,"1"
"16633",3,1,1115,1968,"0","0",-118.015746,33.853578,"1"
"7189",3,2,2681,1951,"1","0",-117.889001,33.662004,"2"
"8744",3,2.5,1695,1987,"0","1",-117.703374,33.520735,"1"
"4054",3,2.5,1420,1999,"0","0",-117.588283,33.640092,"1"
"15332",4,3,2455,1975,"1","0",-117.80019,33.887039,"2"
"19434",2,2.5,1605,1986,"0","0",-117.68028,33.518202,"1"
"8847",1,2,1402,1997,"0","0",-117.626534,33.650951,"1"
"1817",2,1,786,1971,"0","0",-117.834145,33.844889,"1"
"12108",1,1,952,1990,"0","0",-117.859,33.674,"1"
"8663",3,2,1522,1958,"1","0",-118.077276,33.783581,"1"
"17489",3,2,1740,1955,"0","0",-117.941261,33.94085,"1"
"7870",2,2,972,1989,"0","0",-117.741741,33.602366,"1"
"4964",3,2,1296,1957,"0","0",-117.857522,33.731554,"1"
"18601",4,3,2016,1981,"1","0",-118.022516,33.700681,"1"
"6619",6,2,2219,1961,"0","0",-117.846614,33.820223,"1"
"10538",3,2,1319,1954,"0","0",-117.848677,33.800255,"1"
"5069",4,3,2925,1998,"0","0",-117.605478,33.457593,"2"
"3802",4,2,1825,1962,"0","0",-118.014246,33.739871,"1"
"17823",3,2,1142,1994,"0","0",-117.736061,33.849592,"1"
"16631",2,1,1536,1922,"0","0",-117.92841,33.875651,"1"
"3712",1,1,835,1993,"0","0",-117.859,33.674,"1"
"18828",4,3,2044,1977,"0","0",-117.796645,33.690554,"1"
"14252",2,2.5,1280,1990,"0","0",-117.875,33.7539,"1"
"1048",5,4.5,4052,1999,"0","0",-117.746649,33.722652,"2"
"17938",3,2,1312,1974,"0","0",-117.928286,33.776049,"1"
"16647",2,2,1260,1978,"0","0",-117.979,33.6614,"1"
"8930",4,2.5,2302,1965,"0","0",-117.963378,33.919882,"1"
"319",3,2,1242,1969,"0","0",-117.981212,33.654559,"1"
"12052",2,2,972,1968,"0","0",-117.885,33.8903,"1"
"10658",4,3.5,2885,2002,"0","1",-117.84649,33.872704,"2"
"2459",3,2,1448,1956,"1","0",-118.005357,33.814897,"1"
"15836",4,2.5,2409,1992,"0","0",-117.781273,33.870403,"1"
"15268",4,3,2297,1960,"0","0",-117.84795,33.827306,"1"
"5094",3,1,1062,1972,"0","0",-117.669835,33.533642,"1"
"8766",4,2.5,2871,1999,"0","0",-117.770363,33.740244,"1"
"14473",2,2.5,1225,1989,"0","0",-117.58795,33.636728,"1"
"16643",4,3,2314,1965,"0","0",-117.830626,33.896145,"1"
"10286",4,2,1552,1958,"0","0",-117.847606,33.754196,"1"
"10639",4,2.5,2123,1965,"0","1",-117.871997,33.635157,"2"
"14805",3,2,1420,1985,"0","0",-117.75048,33.860755,"2"
"186",4,2,1844,1978,"1","0",-117.981519,33.676483,"1"
"11141",2,2,1190,1979,"0","0",-117.943701,33.916198,"1"
"18365",4,2.5,2392,1999,"0","0",-117.750628,33.727761,"1"
"19300",4,4,2365,1955,"0","0",-117.970786,33.755483,"1"
"2029",3,2,1266,1955,"1","0",-117.887163,33.833166,"1"
"16430",3,2,1333,1971,"1","0",-117.959916,33.660892,"1"
"16887",4,2.5,3127,1977,"0","1",-117.765457,33.836508,"2"
"4970",4,3,2007,1966,"0","0",-117.689569,33.59668,"1"
"1463",4,3,2542,1970,"0","0",-117.775095,33.71088,"2"
"3977",1,1,664,1987,"0","0",-117.934,33.6236,"1"
"587",5,3,2486,1960,"0","0",-117.878213,33.833848,"1"
"4184",3,1.5,1068,1973,"0","0",-117.796519,33.863924,"1"
"3141",3,3.5,1740,1969,"0","0",-117.952372,33.692844,"1"
"10902",4,2.5,2399,1978,"0","0",-117.76483,33.722178,"1"
"2684",2,2,1038,2005,"0","0",-117.850497,33.667397,"1"
"10678",2,2,1026,1985,"0","0",-118.012,33.8136,"1"
"9369",3,3,1284,1993,"0","1",-117.811698,33.691024,"1"
"837",3,2,1188,1955,"0","0",-117.963289,33.857303,"1"
"18014",4,2.5,2400,1978,"0","0",-118.02797,33.845719,"1"
"3473",3,2.5,1635,2005,"0","0",-117.935928,33.803774,"1"
"7583",2,2.5,1306,1995,"0","0",-118.024644,33.824123,"1"
"18912",4,2,1286,1956,"0","0",-118.005107,33.837286,"1"
"6152",1,1,492,1949,"0","0",-117.901301,33.732646,"1"
"10846",4,2.5,1951,1975,"0","0",-117.868133,33.890962,"2"
"10022",1,1,691,1972,"0","0",-117.840212,33.754106,"1"
"1565",4,3,3008,2002,"0","0",-117.915521,33.898048,"2"
"2028",1,1,810,1977,"0","0",-117.97451,33.662764,"1"
"70",2,1,766,1943,"0","0",-117.87741,33.733203,"1"
"4574",2,2,1444,1979,"0","0",-117.644262,33.635444,"1"
"6147",5,2,1496,1955,"0","0",-117.948793,33.767803,"1"
"6334",2,2,1119,1960,"0","0",-117.747,33.5029,"2"
"16508",2,2,1243,1964,"0","0",-118.079855,33.727327,"1"
"19762",3,2,1623,1960,"1","0",-118.07905,33.801495,"2"
"13758",4,3.5,4199,1991,"0","0",-117.80275,33.76537,"2"
"11040",4,3,3411,1992,"0","0",-117.705265,33.490099,"2"
"18281",1,1,634,1922,"0","0",-117.909024,33.844155,"1"
"1174",3,2,2097,1957,"0","0",-118.072831,33.788371,"2"
"5112",5,4,4250,2011,"0","0",-117.613188,33.433655,"2"
"3452",4,2,1472,1978,"0","0",-117.6351,33.60636,"1"
"5714",3,2.5,2122,1959,"1","1",-117.822696,33.765619,"1"
"18018",3,2,1864,1955,"0","0",-117.953871,33.863719,"1"
"7376",3,2,1440,1983,"0","0",-117.7535,33.881574,"1"
"19751",4,1.5,1187,1959,"0","0",-118.014706,33.816462,"1"
"17907",2,2,875,1990,"0","0",-117.789,33.7349,"1"
"9883",4,3,3100,1997,"1","1",-117.581185,33.58768,"1"
"8170",3,1.5,1501,1956,"0","0",-117.856781,33.739255,"1"
"9483",5,3,3556,1999,"0","1",-117.766768,33.728441,"2"
"19802",3,2.5,1801,1965,"0","0",-117.789649,33.869622,"2"
"9663",3,2.5,1448,2001,"0","0",-117.646873,33.56086,"1"
"12771",4,2,1568,1962,"1","0",-117.829065,33.735963,"1"
"15183",3,2,1538,1954,"0","0",-117.925622,33.824599,"1"
"3668",2,1.5,1224,1955,"0","0",-117.939169,33.82355,"1"
"5365",4,3,2694,2002,"0","0",-117.635117,33.54419,"2"
"10703",3,3.5,3459,1994,"0","0",-117.649612,33.587942,"2"
"16217",4,3.5,3563,1979,"1","0",-117.770917,33.771176,"2"
"3986",1,1,625,1981,"0","0",-117.68,33.6459,"1"
"10091",4,2.5,1960,1995,"1","1",-117.71465,33.487828,"1"
"13222",5,3,2112,1939,"0","0",-117.87492,33.72993,"1"
"13063",3,2.5,1936,1990,"0","0",-117.738636,33.849003,"1"
"16165",3,2,1753,1960,"0","0",-117.816805,33.786327,"1"
"2817",2,2.5,1540,1985,"0","0",-117.859,33.8305,"1"
"7457",4,2.5,2362,1966,"1","0",-117.884896,33.928015,"2"
"16663",3,2,1697,1968,"0","0",-117.700668,33.632023,"2"
"11396",2,1,873,1984,"0","0",-117.998,33.6827,"1"
"6972",4,2.5,2205,1965,"0","0",-117.84039,33.816488,"2"
"11999",3,2,1356,1962,"1","0",-118.01393,33.7758,"1"
"18295",4,2,1596,1969,"0","0",-118.033426,33.793948,"1"
"14827",3,2,1663,1974,"1","0",-117.968378,33.78683,"1"
"11288",4,2.5,2206,1995,"0","0",-117.721736,33.555614,"2"
"3299",4,3,2136,1972,"1","0",-118.019095,33.793244,"1"
"4705",5,4.5,4147,2003,"1","1",-117.61541,33.461755,"2"
"17466",2,2,1125,1978,"0","0",-117.643016,33.625029,"1"
"14758",3,2,1891,1963,"0","0",-117.950388,33.754644,"1"
"2924",3,2,1724,1975,"0","0",-117.704659,33.626542,"1"
"14491",2,2.5,1305,1984,"0","0",-117.669206,33.643402,"1"
"13087",3,2,1439,1972,"1","0",-117.790297,33.870338,"1"
"2164",4,1.5,1504,1959,"0","0",-117.974827,33.7441,"1"
"1979",3,1,1265,1950,"0","0",-117.990101,33.859373,"1"
"1738",3,2,1678,1973,"0","0",-117.657726,33.615037,"1"
"3336",3,1,1080,1950,"0","0",-117.922647,33.836375,"1"
"2583",6,4,3462,2002,"0","0",-117.840505,33.926541,"2"
"19196",3,2.5,1717,1989,"1","0",-117.706319,33.581152,"1"
"17622",3,3,1518,2012,"0","0",-117.742797,33.706059,"1"
"2058",4,2,1440,1963,"0","0",-117.895433,33.937757,"1"
"10119",4,2,2347,1965,"0","1",-118.04881,33.840751,"1"
"7914",5,4,3137,1997,"0","1",-117.774552,33.873488,"2"
"13194",2,2,1765,1977,"0","0",-118.003997,33.667017,"1"
"3838",3,2.5,1893,1967,"0","0",-117.946611,33.706728,"1"
"5639",5,3,2493,1971,"0","0",-118.008788,33.725575,"2"
"12441",3,2,1191,1963,"0","0",-117.96364,33.754853,"1"
"12893",3,4.5,3457,1989,"1","1",-117.574345,33.613401,"2"
"5826",2,1,852,1958,"0","0",-118.103275,33.740058,"2"
"14658",3,1.5,971,1954,"0","0",-117.92206,33.648674,"1"
"13358",4,2.5,2492,1998,"0","0",-117.612927,33.626348,"2"
"1267",3,2,1627,1962,"0","0",-118.027946,33.765994,"1"
"4576",4,2.5,3115,1976,"0","0",-117.695252,33.594881,"1"
"9531",4,3,3462,1985,"0","0",-117.700613,33.46952,"2"
"19496",4,2.5,2013,1989,"0","0",-117.696529,33.527344,"2"
"14750",3,2,1603,1963,"0","0",-117.83231,33.844548,"1"
"18283",4,2.5,2965,1994,"1","1",-117.873145,33.905068,"1"
"8390",3,1.5,1078,1956,"0","0",-117.993371,33.792448,"1"
"604",3,2.5,1868,2012,"0","0",-117.758071,33.647807,"2"
"13966",2,2,1027,1978,"0","0",-117.935,33.9317,"1"
"7715",5,2,1934,1955,"0","0",-117.970048,33.846478,"1"
"18126",4,2.5,1833,1987,"0","0",-117.595718,33.447112,"1"
"6820",3,2,1574,1969,"0","0",-117.820559,33.637954,"2"
"2951",3,3,2866,1990,"0","1",-117.644164,33.577625,"2"
"11418",3,2,1435,1962,"1","1",-118.070025,33.790887,"2"
"11297",3,2,2443,1968,"1","0",-117.933471,33.838965,"1"
"17740",4,2.5,1956,1974,"0","0",-117.682507,33.636722,"1"
"7133",4,3,2646,2011,"0","0",-118.071381,33.798564,"2"
"16863",2,2,1091,1980,"0","0",-117.972001,33.663403,"1"
"12894",2,2,1151,1977,"0","0",-117.989571,33.769721,"1"
"255",4,3.5,3554,2004,"0","0",-117.767647,33.642903,"2"
"11361",5,2,2522,1993,"0","0",-117.644312,33.581731,"2"
"17991",2,2.5,1046,1999,"0","0",-117.72742,33.85922,"1"
"7640",3,2.5,1881,1977,"0","0",-117.84682,33.627015,"1"
"17620",3,2.5,1676,1990,"0","0",-117.817586,33.686408,"1"
"19405",4,2,1142,1954,"0","0",-117.947921,33.803891,"1"
"19422",4,2,1672,1964,"0","0",-117.707137,33.522438,"1"
"19270",3,2,1269,1961,"0","0",-117.892132,33.67162,"1"
"4109",5,3,2699,1965,"1","0",-117.791849,33.758112,"1"
"17208",3,2,1291,1965,"0","0",-117.798267,33.852951,"1"
"12862",4,3.5,4460,1999,"1","1",-117.646,33.464603,"2"
"19288",3,2.5,1304,1996,"0","0",-117.734846,33.582167,"1"
"7213",3,2,1702,1989,"0","0",-117.688111,33.557824,"1"
"4167",2,2,988,1988,"0","0",-117.705,33.5762,"1"
"9799",1,1,678,1990,"0","0",-117.789,33.7349,"1"
"1634",3,2,1926,1957,"0","0",-118.077703,33.792761,"2"
"12574",4,2,1700,1976,"0","0",-117.806793,33.783354,"1"
"11655",3,2,1843,1986,"0","0",-117.637139,33.642649,"1"
"8148",1,1,700,1969,"0","0",-117.882,33.6999,"1"
"1690",4,3.5,3773,1996,"0","1",-117.754829,33.722668,"2"
"5251",3,2,1616,1959,"1","0",-117.821464,33.893006,"1"
"429",4,2,1356,1963,"0","0",-117.948797,33.739254,"1"
"5584",4,4,2540,1976,"1","0",-117.763966,33.865184,"1"
"11896",4,2.5,2196,1987,"0","1",-117.636934,33.600315,"1"
"19808",2,2,1078,1972,"0","0",-117.772607,33.692418,"1"
"4550",3,2,1583,1962,"1","0",-117.847625,33.885402,"1"
"2107",4,4,2982,1998,"0","0",-117.592304,33.445329,"2"
"9213",3,2,1742,1991,"0","0",-117.779277,33.691238,"2"
"14178",4,2.5,3093,1968,"1","0",-117.91299,33.945894,"1"
"7367",5,4,3453,2005,"0","0",-117.899145,33.647431,"2"
"3327",2,1,684,1936,"0","0",-117.860886,33.721921,"1"
"9152",3,2.5,2790,1978,"1","0",-117.801483,33.779599,"2"
"19059",3,1,936,1949,"0","0",-117.880535,33.718491,"1"
"7599",3,2,1635,1970,"0","0",-118.012242,33.709388,"1"
"6732",4,2,1363,1955,"0","0",-117.925194,33.769926,"1"
"4666",3,2.5,1805,1994,"0","0",-117.715585,33.588941,"1"
"6234",2,2,1304,1973,"0","0",-117.743532,33.62097,"1"
"14059",4,2,1341,1954,"0","0",-117.955766,33.785523,"1"
"10186",3,2,1320,1977,"0","0",-117.966458,33.890792,"1"
"9769",1,2.5,1729,2006,"0","0",-117.863934,33.774107,"1"
"1418",3,2.5,1406,1985,"0","0",-117.798349,33.670801,"1"
"3355",6,4,2126,1956,"0","0",-117.969617,33.81386,"1"
"11816",3,2.5,2012,1964,"0","0",-117.928813,33.945415,"1"
"10249",3,3,2989,1992,"0","0",-117.733607,33.861018,"1"
"6621",2,2.5,1134,1984,"0","0",-117.894711,33.917083,"1"
"2015",3,2.5,1703,1986,"0","0",-117.770249,33.700682,"1"
"3490",3,2,1254,1978,"0","0",-117.939121,33.847675,"1"
"14068",3,1,1136,1953,"0","0",-117.964877,33.868141,"1"
"11497",2,1,871,1973,"0","0",-117.966458,33.890792,"1"
"16235",4,2,2080,1965,"1","0",-118.037579,33.778915,"2"
"9845",3,2,1298,1955,"0","0",-117.908803,33.77049,"1"
"2612",3,2,1062,1979,"0","0",-117.781543,33.86793,"1"
"11527",3,2.5,1822,2003,"0","0",-117.640884,33.556393,"2"
"17881",2,2.5,1025,1989,"0","0",-117.975,33.7617,"1"
"5118",3,2.5,2230,2001,"0","0",-117.909,33.6472,"2"
"10508",3,2.5,1785,1999,"0","0",-117.790097,33.714749,"2"
"14833",3,3,1970,2004,"0","0",-117.907474,33.93537,"2"
"12603",3,3,2673,2013,"0","0",-117.942539,33.713453,"2"
"13688",4,2,1646,2005,"0","0",-117.819364,33.754482,"2"
"11690",3,1.5,1032,1959,"0","0",-118.013327,33.815752,"1"
"14730",4,2,1757,1962,"0","0",-117.835446,33.890602,"1"
"17155",4,2.5,2101,1997,"0","0",-117.835944,33.873577,"1"
"15383",3,2.5,1835,1996,"0","0",-117.589214,33.64093,"1"
"2151",3,2,1279,1959,"0","0",-118.003329,33.749888,"1"
"18002",3,2.5,2036,1977,"1","0",-117.641816,33.609343,"2"
"14176",3,2,1555,1962,"1","0",-117.802791,33.798494,"1"
"4114",2,2.5,1819,1985,"0","0",-117.939,33.7768,"1"
"7434",5,3,2502,1963,"0","0",-117.839045,33.891834,"1"
"5255",3,2,1232,1964,"0","0",-117.959176,33.684148,"1"
"5036",4,4,1951,2008,"0","0",-117.904751,33.828574,"1"
"16752",3,2.5,1915,1979,"0","0",-117.753648,33.717673,"2"
"1446",3,2.5,1745,1956,"0","0",-117.91733,33.879909,"1"
"16795",4,3,2273,1986,"1","1",-117.832819,33.904151,"1"
"16112",3,2.5,1763,1999,"0","0",-117.641215,33.568056,"1"
"19072",4,3.5,4491,1988,"0","1",-117.639729,33.634443,"2"
"4754",4,3,2130,1974,"0","0",-117.695707,33.598201,"1"
"14464",4,2,2104,1980,"1","0",-117.765656,33.881544,"2"
"2407",2,2,1157,1963,"0","0",-117.922,33.8551,"1"
"18489",3,1,940,1955,"0","0",-117.969422,33.75607,"1"
"7106",3,2,1515,1976,"0","0",-117.892636,33.929596,"1"
"7965",3,2,1433,1964,"0","0",-117.602468,33.41664,"1"
"10398",4,2.5,2301,1973,"0","0",-117.793449,33.703693,"1"
"8968",2,2,1217,1977,"0","0",-117.966458,33.890792,"1"
"5350",3,2,1152,1957,"0","0",-117.921253,33.655818,"1"
"10581",4,2,1660,1962,"1","0",-117.847496,33.818122,"1"
"18030",4,3,1946,1950,"0","0",-117.901925,33.634619,"1"
"1284",2,1,897,1971,"0","0",-117.668147,33.513525,"1"
"1784",3,2,1875,1959,"0","0",-117.929501,33.79968,"1"
"3131",4,3.5,3273,2007,"1","1",-117.664623,33.472429,"2"
"5525",3,2.5,2500,2008,"0","0",-117.698335,33.564061,"2"
"26",4,2,1668,1961,"0","0",-117.798667,33.746292,"1"
"6248",1,1.5,930,1984,"0","0",-117.894711,33.917083,"1"
"38",5,3,3014,1979,"0","1",-118.045973,33.844314,"1"
"11390",3,2.5,2976,2002,"0","0",-117.890832,33.900317,"2"
"13673",4,2,2064,1965,"0","0",-118.035758,33.853779,"1"
"13876",3,1.5,1159,1971,"0","0",-118.00262,33.800009,"1"
"18600",3,2.5,1848,1998,"0","0",-117.780281,33.734995,"1"
"15522",3,1,1500,1951,"0","0",-117.953184,33.937868,"1"
"19441",3,2,1285,1972,"1","0",-117.98043,33.670759,"1"
"19854",4,2,1795,1963,"0","0",-117.978245,33.712667,"1"
"17323",5,3.5,3939,1979,"1","0",-117.669329,33.540465,"2"
"15067",2,1.5,1342,1935,"0","0",-117.767845,33.531502,"1"
"10810",3,2,2193,1979,"1","0",-117.801393,33.802283,"1"
"11758",3,2,1266,1956,"0","0",-117.984732,33.849516,"1"
"7797",4,2.5,2079,1987,"0","0",-117.839079,33.641504,"1"
"890",3,2,1206,1971,"0","0",-117.879346,33.700342,"1"
"11064",3,2,1524,1966,"0","0",-118.045046,33.778848,"1"
"3180",3,2.5,2240,1977,"0","0",-118.01282,33.668082,"2"
"4788",5,3.5,4222,1992,"0","0",-117.710233,33.883631,"2"
"15085",3,2.5,1537,1988,"0","0",-117.724184,33.537256,"1"
"15788",3,2,1083,1987,"0","0",-117.590939,33.651035,"1"
"17827",3,2,1626,1968,"0","0",-117.817867,33.726792,"1"
"6386",6,2.5,1898,1945,"0","0",-117.881545,33.73514,"1"
"7310",4,1,1354,1951,"0","0",-117.936795,33.936421,"1"
"1588",3,2,1136,1958,"1","0",-118.016872,33.760563,"1"
"7814",3,2.5,1777,2014,"0","0",-117.74562,33.705254,"2"
"1037",3,1.5,1597,1959,"0","0",-117.943034,33.748098,"1"
"14123",4,2.5,3045,1983,"0","0",-117.785839,33.783633,"1"
"15792",4,2,1562,1974,"0","0",-117.821507,33.894341,"2"
"15065",2,2,1531,1977,"0","0",-117.837839,33.756789,"1"
"11309",3,3,2954,2003,"0","0",-117.766967,33.543108,"2"
"19813",4,4.5,3779,2013,"0","0",-117.723516,33.696795,"2"
"17576",3,2,1459,1961,"0","0",-117.798916,33.744407,"1"
"7636",2,2,849,1989,"0","0",-117.74359,33.599624,"1"
"13460",4,2.5,2580,1966,"0","0",-117.861749,33.901265,"2"
"15453",3,2,1335,1970,"0","0",-117.827739,33.790105,"1"
"17468",3,2,1146,1955,"0","0",-117.943604,33.846271,"1"
"11453",3,1.5,1485,1955,"0","0",-117.940125,33.799557,"1"
"2779",4,3,2508,1971,"1","0",-117.775124,33.713696,"2"
"14786",2,2,1114,1990,"0","0",-117.791753,33.728583,"1"
"2083",5,2.5,2209,1971,"1","0",-118.009416,33.708018,"1"
"6767",4,3,3221,1983,"1","0",-117.778275,33.888568,"1"
"4986",1,1,866,1980,"0","0",-117.703,33.5742,"1"
"6464",4,2.5,2248,1979,"0","0",-117.905637,33.694155,"1"
"13962",3,2,1410,1963,"0","0",-117.826758,33.727151,"1"
"3037",4,2,1766,1961,"0","0",-117.92763,33.933567,"1"
"14256",4,2.5,1960,1994,"0","0",-117.716167,33.488697,"2"
"4522",5,3,2046,1953,"1","0",-117.964641,33.78182,"1"
"6312",3,2.5,1682,2002,"0","0",-117.638146,33.554012,"1"
"3677",3,2,1242,1958,"0","0",-117.921863,33.933815,"1"
"9473",4,2,1220,1957,"0","0",-117.968783,33.821352,"1"
"1599",3,3,2416,1977,"1","0",-117.935395,33.824527,"1"
"18129",3,3,1806,1961,"1","1",-117.842768,33.782484,"2"
"8093",4,2.5,2341,1975,"0","0",-118.044017,33.847052,"2"
"5004",3,2,1405,1958,"0","0",-117.973248,33.923411,"1"
"1193",2,2,1186,1987,"0","0",-117.994972,33.682354,"1"
"2881",3,2.5,1761,1975,"0","0",-117.833317,33.657834,"1"
"19055",3,2,1402,1976,"0","0",-117.841999,33.879015,"1"
