"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","taxvaluedollarcnt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"15420",3,2,1014,1989,152291,"0","0",-117.863,33.7475,"2"
"1086",3,2.5,1296,1974,420000,"0","0",-117.904305,33.900304,"2"
"18637",5,2.5,1781,1965,296637,"0","0",-117.894453,33.929132,"2"
"8280",4,2,1448,1972,554000,"1","0",-117.689253,33.636116,"2"
"11511",3,2,1653,1973,123647,"0","0",-117.844098,33.884583,"2"
"2263",2,2,1139,1987,415971,"0","0",-117.593368,33.651606,"2"
"19050",2,2.5,1377,1949,350142,"1","0",-117.950129,33.872953,"2"
"8079",2,2,1645,1995,120292,"0","0",-117.643297,33.493507,"2"
"2130",4,2.5,1897,1974,321908,"0","0",-117.791579,33.704845,"2"
"19977",4,2,1169,1954,253628,"0","0",-117.951434,33.788825,"2"
"1105",3,2,1540,1970,569000,"1","0",-117.822128,33.850368,"2"
"12036",2,2.5,1072,2004,577827,"0","0",-117.772109,33.650519,"2"
"7592",4,3,2120,1978,286165,"0","0",-117.864424,33.924601,"2"
"13119",4,3,1547,1975,198639,"0","0",-118.013056,33.795898,"2"
"5443",4,2.5,2079,1978,373294,"0","0",-117.874551,33.787005,"2"
"7739",1,1,693,1989,215580,"0","0",-117.59113,33.646074,"2"
"19245",3,2.5,1799,1967,535721,"1","0",-117.88033,33.685225,"2"
"12520",4,2,1344,1954,377470,"0","0",-118.023442,33.839926,"2"
"9657",3,2.5,1327,1982,183756,"0","0",-117.933172,33.802858,"2"
"10223",4,2,1832,1956,334606,"1","0",-117.980621,33.826587,"2"
"16268",2,2.5,1434,1994,252676,"0","0",-117.59473,33.438661,"2"
"3368",5,3.5,3299,1989,582874,"0","0",-117.678998,33.577572,"2"
"1928",3,2,1406,1958,178639,"0","0",-117.897463,33.730642,"2"
"8329",4,1.5,2110,1931,49794,"0","0",-117.886148,33.751228,"2"
"19104",4,3,2204,1977,334287,"0","0",-117.797782,33.692202,"2"
"6415",4,3,2817,2013,1071012,"0","0",-117.710773,33.699214,"1"
"1256",4,4,3879,2000,836472,"1","1",-117.626245,33.627448,"1"
"18090",3,2,1820,1967,211951,"1","0",-117.821418,33.847369,"2"
"4372",3,2.5,1904,1996,348482,"0","0",-117.700541,33.556415,"2"
"19434",2,2.5,1605,1986,294332,"0","0",-117.68028,33.518202,"2"
"415",4,2.5,1987,1982,278303,"0","0",-117.862584,33.830341,"2"
"1221",3,2,1597,1954,71376,"0","0",-117.85771,33.770822,"2"
"13466",2,2,1365,2012,540113,"0","0",-117.743545,33.704352,"2"
"3991",3,2.5,2619,1965,848749,"0","0",-117.816254,33.766108,"1"
"19808",2,2,1078,1972,236010,"0","0",-117.772607,33.692418,"2"
"18580",5,3,2928,1965,548612,"1","0",-117.925719,33.943791,"2"
"14096",4,3,2438,1935,157485,"0","0",-117.894966,33.605033,"2"
"3615",2,1.5,1413,1974,487320,"0","0",-117.652036,33.451486,"2"
"1018",3,3,2002,1956,134931,"0","0",-117.952393,33.942093,"2"
"3453",3,3.5,3337,1991,1218300,"0","0",-117.790132,33.741259,"1"
"6466",3,3,2161,1966,232589,"0","0",-117.982606,33.659078,"2"
"13651",3,2,1476,1974,604073,"1","0",-117.771006,33.859075,"1"
"10056",3,1,1084,1978,373379,"0","0",-117.784922,33.682745,"2"
"5074",3,2.5,2357,1984,666175,"0","0",-117.799511,33.648593,"1"
"11685",4,2,1891,1964,110571,"0","0",-117.871239,33.643268,"2"
"13762",4,2.5,2197,1990,448818,"0","0",-117.85622,33.887024,"2"
"15531",2,1.5,1020,1972,209024,"0","0",-117.688545,33.631127,"2"
"14568",4,3,2479,1973,481550,"0","0",-118.009395,33.736624,"2"
"1771",3,2.5,1573,1958,539000,"1","0",-117.949983,33.81176,"2"
"5618",2,2,2841,2003,673988,"0","0",-117.579305,33.463061,"1"
"16887",4,2.5,3127,1977,710675,"0","1",-117.765457,33.836508,"1"
"11329",3,2.5,2016,1959,264856,"0","0",-117.962174,33.805444,"2"
"7807",4,2,1425,1972,147333,"0","0",-117.665894,33.51461,"2"
"1041",4,2,1986,1975,604718,"0","0",-118.022004,33.702204,"1"
"10529",3,2,1287,1960,353157,"1","0",-117.841995,33.751784,"2"
"15025",4,2,1790,1968,86920,"0","0",-117.9585,33.649299,"2"
"15509",4,2.5,1718,1962,589000,"0","0",-117.8563,33.772049,"2"
"11459",1,1,504,1986,164876,"0","0",-117.925,33.7145,"2"
"7047",5,3,1994,1972,843672,"1","0",-117.97594,33.675004,"1"
"3894",4,2.5,2451,1978,416676,"1","0",-118.021262,33.700578,"2"
"15054",2,2,1094,1979,66980,"0","0",-117.787775,33.863526,"2"
"5193",3,1,1146,1953,192249,"0","0",-117.831445,33.74393,"2"
"12737",3,2,1301,1980,633000,"0","0",-117.703781,33.551382,"1"
"943",3,4.5,4160,2001,1167820,"0","0",-117.647725,33.461433,"1"
"8296",3,3,2520,1985,490217,"1","1",-117.656233,33.57629,"2"
"19346",3,2.5,2662,1999,583351,"0","0",-117.592414,33.401249,"2"
"2905",5,4.5,3320,2000,1937258,"1","1",-117.809901,33.603455,"1"
"16613",2,2,737,1986,294000,"0","0",-117.578913,33.649658,"2"
"12107",4,3,2293,1965,512860,"0","0",-118.019571,33.722957,"2"
"8021",4,2,1673,1965,424168,"0","0",-117.930485,33.726074,"2"
"8891",4,3,2039,1970,102646,"0","0",-117.774365,33.713144,"2"
"10219",3,2,1211,1955,173156,"0","0",-117.908416,33.76889,"2"
"14906",3,2.5,1350,1987,245760,"0","0",-117.933353,33.756883,"2"
"5583",3,3,2814,1989,738566,"1","0",-117.661407,33.655862,"1"
"4934",3,2,1379,1971,609000,"1","0",-117.831388,33.88134,"1"
"2275",4,2.5,2715,1998,1040000,"0","0",-117.784186,33.663887,"1"
"18811",2,1,827,1949,140871,"0","0",-117.88289,33.717191,"2"
"11859",2,2,1250,1989,183435,"0","0",-117.839093,33.636978,"2"
"11032",2,2.5,1510,2012,265038,"0","0",-117.761291,33.76853,"2"
"15896",2,2,1633,1982,317929,"0","0",-117.921095,33.901074,"2"
"14242",5,2,1918,1959,274850,"0","0",-117.90248,33.783776,"2"
"16647",2,2,1260,1978,109535,"0","0",-117.979,33.6614,"2"
"19176",4,2,1289,1962,595039,"0","0",-118.048432,33.724582,"1"
"4685",5,2,1986,1966,344882,"0","0",-117.967381,33.661624,"2"
"1996",2,2,1181,1984,426415,"0","0",-117.866966,33.637564,"2"
"18649",3,2.5,1782,1990,660000,"0","0",-117.733338,33.863093,"1"
"7975",3,2,1801,1966,695878,"0","0",-118.002607,33.727477,"1"
"9558",2,2,971,1980,214470,"0","0",-117.815682,33.668733,"2"
"13541",4,2.5,2356,1973,484754,"0","0",-117.706489,33.633804,"2"
"11670",4,2.5,1824,1971,272803,"0","0",-117.95256,33.697864,"2"
"18632",2,2,1230,1987,434204,"0","0",-117.835727,33.65311,"2"
"7752",3,2.5,1802,2001,585000,"0","0",-117.987065,33.849329,"2"
"12356",3,2.5,1656,1972,431000,"0","0",-117.922418,33.73003,"2"
"2104",4,2.5,3542,1965,1115072,"0","1",-118.058284,33.718978,"1"
"18855",4,2.5,1804,1971,309552,"0","0",-117.976514,33.731854,"2"
"11010",3,2,1824,1971,58823,"0","0",-117.890405,33.750823,"2"
"13066",3,2.5,2590,1972,501572,"0","0",-117.963176,33.664331,"2"
"348",3,3,1360,1965,380284,"0","0",-117.944666,33.683154,"2"
"8258",4,2,1241,1955,412282,"0","0",-117.884598,33.868349,"2"
"4947",3,1.5,1119,1954,52797,"0","0",-117.993031,33.765893,"2"
"17341",3,1,980,1957,220338,"0","0",-118.028898,33.853662,"2"
"15123",2,2,1002,1984,365490,"0","0",-117.905551,33.906434,"2"
"6305",3,2,1302,1963,514602,"0","0",-117.963312,33.675636,"2"
"10416",3,3,1906,1987,711000,"0","0",-117.77443,33.896057,"1"
"15562",2,2.5,1277,1980,321014,"0","0",-117.975196,33.759668,"2"
"19472",3,2,1194,1965,434095,"0","0",-118.074,33.7869,"2"
"5144",3,2.5,2366,1999,690370,"0","0",-117.629715,33.568461,"1"
"2746",3,2,1661,1965,313664,"1","0",-117.807488,33.736543,"2"
"14218",2,2.5,1112,1986,364000,"0","0",-117.724178,33.871858,"2"
"2673",4,2.5,2824,1974,180652,"1","0",-118.025783,33.796712,"2"
"1678",3,2.5,1367,1973,220757,"0","0",-118.037088,33.755074,"2"
"15770",3,3,2916,2000,659988,"0","0",-117.777345,33.667258,"1"
"17705",4,2.5,1440,1964,196271,"0","0",-117.95,33.842,"2"
"2535",5,2.5,2986,1963,347633,"1","0",-117.795919,33.741674,"2"
"8028",4,3,2245,2014,685805,"0","0",-117.844108,33.905285,"1"
"17523",3,2.5,1690,1989,385628,"0","0",-117.592191,33.443142,"2"
"12787",3,2,1909,1969,150567,"0","0",-117.829179,33.776225,"2"
"16470",4,3,2698,1997,654767,"0","0",-117.58144,33.587129,"1"
"17723",5,3,2747,1997,780676,"0","0",-117.721651,33.858836,"1"
"8057",4,3,2418,1972,370330,"0","0",-117.900805,33.689596,"2"
"8117",3,1.5,1145,1954,332874,"0","0",-117.975999,33.821023,"2"
"3657",3,2,1559,1972,82854,"0","0",-117.95926,33.662289,"2"
"16087",3,2,1310,1958,54768,"0","0",-117.960356,33.850577,"2"
"2787",2,1.5,904,1983,97676,"0","0",-117.900844,33.915731,"2"
"4411",2,1,989,1916,209006,"0","0",-117.874842,33.737495,"2"
"1075",4,3.5,2392,1974,329670,"0","0",-117.783774,33.708957,"2"
"1802",2,2,1268,2004,421232,"0","0",-117.830339,33.628475,"2"
"7174",4,2.5,1912,1995,571432,"0","0",-117.594296,33.592712,"2"
"722",2,2.5,1988,1993,302476,"0","0",-117.61713,33.617852,"2"
"12020",2,1,659,1948,265152,"0","0",-117.939027,33.749986,"2"
"279",2,2.5,1083,1993,229773,"0","0",-117.633166,33.679273,"2"
"16338",4,1.5,1564,1966,127702,"0","0",-118.056503,33.816083,"2"
"319",3,2,1242,1969,86065,"0","0",-117.981212,33.654559,"2"
"19893",3,2,1754,1958,348359,"0","0",-117.904721,33.844913,"2"
"16776",4,3,3745,1976,706037,"0","0",-117.90965,33.613308,"1"
"2019",4,3.5,3239,1990,714438,"0","0",-117.633124,33.683241,"1"
"6023",4,2,1237,1955,477167,"0","0",-118.018054,33.770204,"2"
"2049",4,2.5,2795,1998,433033,"0","0",-118.014642,33.831596,"2"
"14282",4,2.5,1748,1969,485000,"0","0",-118.060017,33.815463,"2"
"4335",3,2,1124,1969,157586,"0","0",-118.075,33.7852,"2"
"6857",3,2,1182,1970,238096,"0","0",-117.902,33.6974,"2"
"19156",4,3,2507,2013,760729,"0","0",-117.620863,33.526463,"1"
"18081",4,2.5,2243,1968,365842,"0","0",-117.81426,33.722084,"2"
"9209",2,1.5,1148,1965,370517,"0","0",-118.073,33.7863,"2"
"17074",4,2,1740,1970,73204,"0","0",-117.895649,33.901533,"2"
"15394",5,3,1580,1944,382845,"0","0",-117.989891,33.809359,"2"
"18066",3,2,1402,1971,304379,"0","0",-117.927847,33.692093,"2"
"6427",4,3,1893,1958,413805,"0","0",-117.973622,33.935904,"2"
"7642",3,1.5,1525,1955,238125,"0","0",-117.942599,33.806593,"2"
"15856",5,4,3240,2003,760246,"0","0",-117.784971,33.853277,"1"
"17325",3,2,1210,1963,335899,"0","1",-117.972652,33.732362,"2"
"18693",4,2,1948,1968,487016,"0","0",-117.832068,33.88406,"2"
"2217",4,3,1928,1972,90533,"0","0",-117.967885,33.729289,"2"
"9447",1,1,561,1982,188328,"0","0",-117.991677,33.688169,"2"
"9417",3,2.5,1371,1994,442099,"0","0",-117.673082,33.686052,"2"
"18329",3,2,1460,1976,207762,"1","0",-117.736548,33.623091,"2"
"5886",3,2.5,1115,1990,403858,"0","0",-117.907386,33.655675,"2"
"13542",4,3.5,3247,2000,610857,"0","0",-117.626247,33.627255,"1"
"16868",3,2,1364,1986,540170,"0","0",-117.633335,33.474449,"2"
"17973",4,2,1738,1969,347492,"0","0",-117.839113,33.774476,"2"
"13721",5,3,2620,1967,841000,"0","0",-118.060986,33.824318,"1"
"17449",2,1.5,1242,1977,346748,"0","0",-118.019473,33.823386,"2"
"11523",4,3,2277,1974,198047,"0","0",-117.794808,33.708111,"2"
"4965",2,1.5,837,1979,309651,"0","0",-117.81,33.7459,"2"
"8880",3,2,1312,1959,414353,"0","0",-117.94988,33.918695,"2"
"16236",4,3,2601,1987,682020,"0","0",-117.817293,33.676053,"1"
"15696",3,2,1184,1971,257591,"0","0",-117.66522,33.513936,"2"
"11325",3,2,1485,1970,626000,"0","0",-117.670028,33.633768,"1"
"12066",4,2,2340,1971,471228,"0","0",-117.790392,33.811366,"2"
"14028",5,3,1897,1973,126852,"0","0",-117.788784,33.701163,"2"
"16153",4,3,2156,1993,409053,"0","0",-117.698111,33.514488,"2"
"8083",3,2,2124,1981,372517,"0","0",-117.635657,33.457681,"2"
"18704",3,2,1497,1956,357144,"0","0",-118.007173,33.866623,"2"
"17133",3,2,1769,1955,330088,"0","0",-117.970011,33.831417,"2"
"12859",4,2.5,2218,1964,486688,"1","0",-117.824761,33.901117,"2"
"6253",3,2,1406,1962,159316,"0","0",-118.009036,33.73309,"2"
"19591",2,1,936,1981,333581,"0","0",-117.992389,33.659051,"2"
"4832",4,3,2614,1995,908000,"0","0",-118.050333,33.820709,"1"
"1091",4,3,2644,1991,515816,"0","0",-117.71163,33.877744,"2"
"9981",3,2.5,1891,2001,695116,"0","0",-117.774464,33.718628,"1"
"12155",2,1.5,1200,1968,81401,"0","0",-117.951527,33.690832,"2"
"7798",5,3,4052,2000,980316,"1","1",-117.740705,33.573756,"1"
"19794",4,3,3038,1992,569777,"1","0",-117.767408,33.783946,"2"
"17225",4,2,2019,1963,452517,"0","0",-117.823965,33.788482,"2"
"15818",4,1.5,1584,1955,74052,"0","0",-117.985109,33.825078,"2"
"2455",3,3.5,3920,2004,1113843,"0","0",-117.593507,33.410859,"1"
"14286",3,2,1437,1970,68771,"0","0",-118.018275,33.840932,"2"
"2484",3,2.5,1637,1972,268300,"0","0",-117.957568,33.761535,"2"
"1134",3,2,1296,1963,184706,"0","0",-117.811151,33.744502,"2"
"8058",4,2,2088,1975,333096,"1","0",-117.824748,33.876589,"2"
"6745",3,2.5,2679,1997,795000,"0","0",-117.610909,33.646175,"1"
"17317",5,4.5,4501,2009,1753725,"0","0",-117.651334,33.521606,"1"
"387",3,3,1428,2010,670951,"0","0",-117.749586,33.693422,"1"
"16896",4,2,1400,1960,403449,"0","0",-117.894307,33.832987,"2"
"11108",4,2.5,2006,1971,781724,"1","0",-117.958765,33.727814,"1"
"5664",3,3,2436,1977,754000,"0","0",-117.763891,33.837695,"1"
"11931",3,2,1611,1963,244079,"1","0",-117.854544,33.769284,"2"
"4262",4,4.5,3214,2000,1934303,"0","0",-117.874413,33.600528,"1"
"4450",4,2.5,2965,1966,1024143,"1","1",-117.79808,33.764176,"1"
"4276",2,2,1195,1955,52084,"0","0",-118.024091,33.849938,"2"
"11933",3,2.5,1729,1992,581186,"0","0",-117.645155,33.583251,"2"
"12578",4,3,2582,1972,162300,"0","0",-117.960687,33.666714,"2"
"17409",4,2,1944,1963,599723,"0","0",-117.899206,33.68341,"1"
"1287",4,3,2525,1991,424882,"0","0",-117.702293,33.558542,"2"
"15798",3,2,1034,1982,309000,"0","0",-117.994184,33.822667,"2"
"14520",3,2,1447,1957,388535,"0","0",-118.086463,33.792445,"2"
"9149",3,3,2575,1993,460884,"0","0",-117.762688,33.762084,"2"
"8278",2,1,897,1971,156061,"0","0",-117.668147,33.513525,"2"
"19752",3,2,1520,1962,702407,"1","0",-117.927835,33.673428,"1"
"15788",3,2,1083,1987,518801,"0","0",-117.590939,33.651035,"2"
"16368",3,2,1555,1960,523240,"0","0",-117.890477,33.67388,"2"
"15331",3,2,1799,1969,462467,"0","0",-117.855815,33.879243,"2"
"18032",3,2.5,1454,1999,446710,"0","0",-117.909155,33.839517,"2"
"1417",5,4,3204,2005,933351,"0","0",-117.804496,33.69865,"1"
"18250",2,1,940,1955,54543,"0","0",-117.967614,33.754395,"2"
"15574",2,1,1100,1925,202355,"0","0",-117.86408,33.716869,"2"
"12984",3,2,1403,1986,592906,"0","0",-117.642021,33.652888,"2"
"10183",4,2,2016,1973,100917,"0","0",-117.950462,33.732838,"2"
"14551",4,2,1469,1968,134373,"0","0",-117.862298,33.726889,"2"
"10753",5,2,1982,1964,344016,"1","1",-117.964164,33.675462,"2"
"3320",2,2,912,1971,208126,"0","0",-117.957,33.8159,"2"
"4777",3,2,1364,1955,486304,"0","0",-117.943466,33.9402,"2"
"7482",3,3,2851,1954,919331,"0","0",-117.800859,33.550313,"1"
"1034",1,1,924,1983,215275,"0","0",-117.985,33.6708,"2"
"18170",3,3,2643,2001,802598,"0","0",-117.92251,33.670671,"1"
"17476",1,1,729,1969,75475,"0","0",-117.834,33.7632,"2"
"11811",2,2,1476,1976,292775,"0","0",-117.8396,33.755837,"2"
"14550",3,2.5,2468,1978,1969585,"0","0",-117.913436,33.611696,"1"
"11717",4,2.5,1691,1979,420362,"0","0",-117.955109,33.746444,"2"
"18457",4,3,2141,1957,965645,"0","0",-118.081316,33.788472,"1"
