"","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","yearbuilt","poolcnt","hashottuborspa","Longitude","Latitude","cluster"
"18018",4,2,1733,1962,"0","0",-118.232666,34.215959,"2"
"7376",2,2,891,1983,"0","0",-118.399797,34.432669,"2"
"19751",4,2,1820,1948,"0","0",-118.438846,34.004943,"1"
"17907",2,1,804,1957,"0","0",-118.127676,34.597743,"2"
"9883",3,2,1058,1974,"1","0",-118.284932,33.819636,"2"
"8170",3,2,1270,1966,"1","0",-118.138,33.7895,"2"
"9483",3,2,1244,1992,"0","0",-118.020849,34.570755,"2"
"19802",3,2,1725,1957,"0","0",-118.408554,33.893559,"2"
"9663",3,2,1372,1978,"0","0",-117.903292,34.016704,"2"
"12771",3,2,1222,1953,"0","0",-118.156978,33.9223,"2"
"15183",3,2,1328,1953,"0","0",-117.928603,34.077382,"2"
"3668",3,2,1198,1985,"0","0",-118.397725,34.439408,"2"
"5365",3,1,1476,1948,"0","0",-118.349802,34.178464,"2"
"10703",3,2,1663,1953,"0","0",-118.411528,34.178711,"2"
"16217",3,2,1398,1985,"1","0",-117.935772,34.565793,"2"
"3986",3,2,1780,1929,"0","0",-118.236368,34.162481,"2"
"10091",2,2,1792,1921,"1","0",-118.325439,34.07936,"1"
"13222",2,1,974,1941,"0","0",-118.320048,33.794654,"2"
"13063",3,2,1447,1951,"0","0",-118.332556,34.012273,"2"
"16165",4,4,3996,1908,"1","0",-118.164504,34.133438,"2"
"2817",3,3,2379,1945,"1","0",-118.408196,34.163864,"2"
"7457",3,3,1517,1988,"0","0",-118.127,34.0869,"2"
"16663",3,3,1845,1986,"0","0",-118.085702,34.568889,"2"
"11396",2,3,1801,1978,"1","0",-118.384714,33.866853,"2"
"6972",3,2,1494,1937,"0","0",-118.194633,34.14363,"1"
"11999",2,3,2847,1979,"0","0",-118.088068,33.871785,"2"
"18295",4,2,1629,1966,"0","0",-117.885393,33.983937,"2"
"14827",2,2,977,1980,"0","0",-118.178,33.7715,"2"
"11288",4,4,2756,1969,"0","0",-118.199089,34.178696,"2"
"3299",3,2,1314,1962,"0","0",-118.063775,33.820399,"2"
"4705",4,2,1820,1954,"0","0",-117.900163,34.068267,"2"
"17466",3,3,2138,1938,"0","0",-118.431158,34.146322,"2"
"14758",3,2,1745,1936,"1","0",-118.114595,34.153308,"2"
"2924",2,2,1330,1960,"0","0",-118.13,34.1426,"2"
"14491",3,2,1723,1959,"0","0",-118.024612,34.127702,"2"
"13087",2,1,1136,1938,"0","0",-118.498364,34.199809,"2"
"2164",4,2,2130,1948,"0","0",-118.46469,34.216391,"2"
"1979",5,3,2438,1990,"0","0",-118.431272,34.317769,"2"
"1738",2,2,1335,1983,"0","0",-117.906,34.1015,"2"
"3336",3,2,1175,1955,"0","0",-118.362422,33.836986,"2"
"2583",3,2,1134,1985,"1","0",-118.097254,34.562872,"2"
"19196",2,2,1430,2007,"0","0",-118.356,33.8253,"2"
"17622",3,1,1497,1922,"0","0",-118.317133,34.019443,"2"
"2058",3,2,1915,1941,"1","0",-118.349299,33.979066,"2"
"10119",3,3,2704,1980,"1","0",-118.404561,34.013181,"2"
"7914",3,3,2538,1979,"1","0",-117.768701,34.142681,"2"
"13194",2,3,1439,1987,"1","0",-118.393,33.8547,"2"
"3838",3,3,2004,2001,"0","0",-118.275666,33.818232,"2"
"5639",3,2,1186,1963,"0","0",-117.729129,34.08069,"2"
"12441",3,2,1440,1979,"0","0",-117.895315,34.027831,"2"
"12893",2,2,1434,1978,"0","0",-118.363,33.8759,"2"
"5826",3,3,2166,1953,"1","0",-118.094743,33.828157,"2"
"14658",3,2,1363,1949,"0","0",-118.292651,33.877791,"2"
"13358",4,2,1323,1955,"0","0",-118.151008,34.710074,"2"
"1267",3,2,2289,1935,"0","0",-118.371155,34.058336,"2"
"4576",5,2,1585,1939,"0","0",-118.17418,33.861231,"2"
"9531",3,2,1209,1953,"0","0",-118.129744,33.969298,"2"
"19496",2,2,1595,1948,"0","0",-118.192645,33.951956,"2"
"14750",3,3,1524,1990,"0","0",-118.10248,34.693448,"2"
"18283",5,3,2969,1930,"0","0",-118.15361,34.113231,"2"
"8390",3,3,1248,1982,"0","0",-118.14286,33.869223,"2"
"604",4,3,1811,1972,"0","0",-117.811402,34.009253,"2"
"13966",3,1,1025,1944,"0","0",-118.188829,33.837979,"2"
"7715",3,3,1463,1986,"0","0",-118.018358,34.074793,"2"
"18126",3,1,2132,1909,"0","0",-118.329056,34.042635,"1"
"6820",3,2,1450,1943,"0","0",-118.329954,33.893082,"2"
"2951",2,2,1441,1922,"0","0",-118.294146,34.027539,"2"
"11418",6,3,2396,1930,"0","0",-118.187864,34.026997,"2"
"11297",3,2,1154,1923,"0","0",-118.33718,33.990376,"2"
"17740",3,1,1592,1952,"0","0",-118.101055,33.835813,"2"
"7133",3,1,1428,1919,"0","0",-118.158304,33.770572,"2"
"16863",4,2,1773,1969,"1","0",-117.990813,34.008925,"2"
"12894",5,3,1962,1947,"0","0",-118.035306,34.141554,"2"
"255",3,2,1636,1951,"0","0",-118.548405,34.190468,"2"
"11361",6,3,3476,1987,"1","0",-118.514137,34.289587,"1"
"17991",5,3,3113,1982,"0","0",-117.881182,34.050843,"2"
"7640",4,2,1630,1961,"0","0",-118.381339,33.842539,"1"
"17620",4,3,2234,1956,"0","0",-118.482046,34.269687,"2"
"19405",4,3,2350,1964,"0","0",-118.078591,33.814361,"1"
"19422",5,3,1984,1946,"0","0",-118.383955,33.850383,"2"
"19270",4,2,1295,1961,"1","0",-118.06716,33.962278,"2"
"4109",3,2,1379,1953,"0","0",-118.307134,33.803539,"2"
"17208",4,4,3134,1966,"0","0",-118.172676,34.102669,"1"
"12862",3,2,1753,1965,"0","0",-118.511935,34.19181,"2"
"19288",4,3,1976,1946,"0","0",-118.118958,34.671605,"2"
"7213",1,1,648,1908,"0","0",-118.204083,34.122303,"2"
"4167",5,3,2447,1972,"0","0",-117.815166,33.996744,"2"
"9799",3,2,1392,1966,"0","0",-118.464606,34.400187,"2"
"1634",4,2,1555,1939,"0","0",-118.071999,34.105476,"2"
"12574",3,1,1583,1949,"1","0",-118.084184,33.988489,"2"
"11655",2,1,880,1950,"0","0",-118.027563,34.053599,"2"
"8148",3,2,1270,1952,"0","0",-118.154898,33.84069,"2"
"1690",3,2,1566,1969,"0","0",-117.779838,34.128556,"2"
"5251",4,3,1571,1992,"0","0",-118.009,34.0725,"2"
"429",2,1,1121,1926,"0","0",-118.232048,34.205443,"1"
"5584",4,3,1776,1955,"0","0",-118.413522,33.89456,"2"
"11896",2,1,785,1950,"0","0",-118.095905,33.960293,"2"
"19808",3,3,3472,1989,"0","0",-118.124282,33.942233,"1"
"4550",3,2,1936,1964,"1","0",-118.654801,34.173666,"1"
"2107",2,2,1924,1982,"1","0",-118.389,33.8345,"2"
"9213",5,2,2438,1922,"0","0",-118.463274,33.990989,"1"
"14178",2,1,784,1952,"0","0",-118.301143,33.878602,"2"
"7367",2,1,1296,1906,"0","0",-118.277818,34.077853,"2"
"3327",4,3,2892,1987,"0","0",-118.492796,34.449047,"2"
"9152",3,2,1464,1960,"0","0",-118.012052,33.934813,"2"
"19059",3,2,1176,1955,"0","0",-118.005407,33.885933,"2"
"7599",1,1,895,1963,"1","0",-118.141,34.1388,"2"
"6732",3,3,1676,1901,"0","0",-118.414964,34.215386,"2"
"4666",3,2,1694,1955,"1","0",-118.410373,34.19692,"2"
"6234",3,2,1032,1938,"0","0",-117.986337,34.0373,"2"
"14059",2,1,1170,1923,"0","0",-118.161367,34.171496,"1"
"10186",1,1,553,1923,"0","0",-118.169,33.7684,"2"
"9769",3,2,1007,1979,"0","0",-118.549,34.3772,"2"
"1418",2,2,616,1922,"0","0",-118.324654,34.020297,"2"
"3355",5,3,3450,1974,"0","0",-117.860758,33.986074,"2"
"11816",3,2,1365,1930,"0","0",-118.123632,33.933669,"2"
"10249",4,4,3190,1988,"1","0",-117.95715,33.961499,"1"
"6621",4,3,2424,1967,"0","0",-118.075283,33.873292,"2"
"2015",2,3,1184,1921,"0","0",-118.233732,34.113985,"2"
"3490",5,4,3057,1980,"1","0",-118.566072,34.255656,"2"
"14068",3,1,1642,1952,"0","0",-118.152014,33.842919,"2"
"11497",2,2,1310,2002,"0","0",-118.358,34.0548,"2"
"16235",3,2,1341,1954,"0","0",-117.937765,34.083508,"2"
"9845",3,2,1196,1960,"0","0",-117.84193,34.098551,"2"
"2612",4,2,1454,1951,"0","0",-118.056689,33.972872,"2"
"11527",2,2,1448,1954,"0","0",-117.902695,34.08312,"2"
"17881",1,1,713,1947,"0","0",-118.231282,34.237378,"2"
"5118",1,1,588,1963,"0","0",-118.174,33.7667,"2"
"10508",4,3,2317,1990,"0","0",-118.023025,34.095876,"2"
"14833",3,1,1010,1922,"0","0",-118.324854,33.984183,"2"
"12603",2,1,1104,1948,"0","0",-117.972908,34.075568,"2"
"13688",3,2,1274,1992,"0","0",-118.419238,34.26596,"2"
"11690",3,3,2324,1959,"0","0",-118.509339,34.255461,"2"
"14730",3,2,1399,1950,"1","0",-118.058674,34.000541,"2"
"17155",1,2,1036,1973,"1","0",-118.377,34.0903,"1"
"15383",2,3,1806,1979,"1","0",-118.535,34.2525,"2"
"2151",2,2,1489,1951,"0","0",-118.492371,34.039971,"1"
"18002",2,1,1201,1938,"0","0",-118.097492,34.10381,"1"
"14176",3,3,1823,1989,"0","0",-118.057983,34.552072,"2"
"4114",3,2,1230,1938,"0","0",-118.323208,33.965421,"2"
"7434",2,3,2332,1937,"1","0",-118.334751,33.999117,"2"
"5255",3,2,1932,1956,"0","0",-118.475686,34.206909,"2"
"5036",3,2,2212,1959,"0","0",-118.365528,33.802653,"2"
"16752",4,3,1942,1951,"1","0",-118.180579,34.205356,"1"
"1446",3,4,2513,1948,"0","0",-118.473724,34.059724,"1"
"16795",3,2,1161,1955,"0","0",-118.456877,34.30857,"2"
"16112",3,1,1431,1922,"0","0",-118.339947,34.050666,"1"
"19072",3,1,1174,1951,"0","0",-117.742317,34.073031,"2"
"4754",4,2,1346,1930,"1","0",-118.358933,34.149836,"1"
"14464",2,2,950,1988,"0","0",-117.797,34.0449,"2"
"2407",3,1,1040,1951,"0","0",-118.429531,34.22457,"2"
"18489",5,3,2453,1948,"0","0",-118.426599,34.020286,"2"
"7106",3,2,1828,1974,"0","0",-118.736418,34.153549,"2"
"7965",5,4,3247,1968,"1","0",-118.488524,34.13719,"1"
"10398",3,3,1356,1989,"0","0",-118.162,33.9104,"2"
"8968",3,2,2250,1959,"1","0",-118.124332,33.945609,"2"
"5350",2,1,1116,1924,"0","0",-118.175306,34.058326,"2"
"10581",4,4,2737,1981,"0","0",-118.148198,34.057243,"2"
"18030",2,1,949,1943,"0","0",-118.050793,33.989121,"2"
"1284",4,2,1288,1965,"1","0",-117.958853,34.078542,"2"
"1784",2,1,956,1913,"0","0",-118.266735,34.067414,"2"
"3131",2,1,576,1943,"0","0",-118.297527,33.846113,"2"
"5525",2,2,1501,1980,"0","0",-118.226,34.1729,"2"
"26",5,3,3660,1923,"0","0",-118.31482,34.039208,"2"
"6248",4,3,2549,1942,"0","0",-118.461557,34.164204,"1"
"38",2,1,796,1973,"0","0",-118.293863,33.812651,"2"
"11390",2,2,976,1969,"0","0",-118.361,33.9732,"2"
"13673",2,2,1664,1953,"0","0",-118.448892,34.10246,"2"
"13876",3,2,1327,1957,"1","0",-118.609108,34.214966,"2"
"18600",3,3,1604,1989,"0","0",-118.219969,33.892879,"2"
"15522",3,2,984,1928,"0","0",-118.208325,33.950074,"2"
"19441",3,1,1008,1948,"0","0",-118.372593,34.203272,"2"
"19854",6,5,3602,1948,"1","0",-118.214027,34.22224,"1"
"17323",3,2,1197,1951,"0","0",-118.445206,33.999274,"2"
"15067",4,2,1553,1980,"0","0",-118.122455,34.683841,"2"
"10810",3,2,1770,1924,"0","0",-118.210754,34.096951,"2"
"11758",3,2,1296,1955,"1","0",-118.455567,34.23679,"2"
"7797",2,1,771,1971,"0","0",-117.908,33.9883,"2"
"890",2,1,792,1924,"0","0",-118.300362,33.992959,"2"
"11064",2,2,977,1962,"0","0",-118.134,34.1879,"2"
"3180",3,2,1366,1949,"0","0",-118.078221,33.929632,"2"
"4788",2,2,884,1971,"1","0",-118.572,34.2028,"2"
"15085",3,2,1263,1980,"0","0",-118.535968,34.457756,"2"
"15788",2,2,1697,1955,"0","0",-118.415219,34.10064,"1"
"17827",2,1,752,1925,"0","0",-118.253539,33.972525,"2"
"6386",4,4,3055,1986,"0","0",-118.119476,33.765115,"1"
"7310",4,2,1600,1974,"1","0",-117.878252,34.013281,"2"
"1588",4,2,2028,1995,"0","0",-118.315138,33.807127,"2"
"7814",2,1,768,1948,"0","0",-118.031771,34.096766,"2"
"1037",4,2,2326,1985,"0","0",-118.179615,33.899009,"2"
"14123",3,3,1999,1952,"0","0",-118.325249,34.20508,"2"
"15792",4,2,1359,1967,"0","0",-118.094344,33.945559,"2"
"15065",2,1,904,1971,"0","0",-118.066698,33.878985,"2"
"11309",3,3,2716,1966,"0","0",-118.451642,34.140021,"2"
"19813",3,2,1504,1928,"0","0",-118.191634,33.967949,"2"
"17576",2,2,1562,1953,"1","0",-118.795756,34.010162,"2"
"7636",4,2,2100,1973,"1","0",-118.306064,33.759467,"1"
"13460",2,2,986,1924,"0","0",-118.271255,33.969855,"2"
"15453",3,2,1160,1954,"0","0",-117.916767,34.103491,"2"
"17468",3,2,1543,1952,"0","0",-118.102974,33.801033,"2"
"11453",2,1,1170,1929,"0","0",-118.327522,34.163227,"1"
"2779",3,3,1839,1995,"0","0",-118.494,34.1973,"2"
"14786",4,2,2091,1925,"1","0",-118.324256,34.073712,"1"
"2083",3,2,1782,1947,"0","0",-118.222289,34.116355,"2"
"6767",3,3,1271,1985,"1","0",-118.033,33.9226,"2"
"4986",3,2,1368,1969,"0","0",-118.165047,33.852264,"2"
"6464",3,2,1385,1951,"0","0",-118.189168,33.906318,"2"
"13962",3,1,1294,1937,"0","0",-118.461204,34.017865,"2"
"3037",3,2,1336,1943,"0","0",-118.138636,33.844725,"2"
"14256",2,2,1825,1950,"0","0",-118.197784,34.208325,"1"
"4522",6,3,2662,1913,"0","0",-118.305,34.0809,"2"
"6312",3,1,1145,1938,"0","0",-118.298292,33.749667,"2"
"3677",4,2,1374,1977,"1","0",-118.548,34.1893,"2"
"9473",3,3,1481,1984,"0","0",-117.971,33.9944,"2"
"1599",3,3,1684,2001,"0","0",-118.535812,34.39696,"2"
"18129",2,1,947,1949,"0","0",-117.980876,34.129715,"2"
"8093",6,5,4559,1930,"1","0",-118.433648,34.078784,"2"
"5004",3,1,1142,1947,"0","0",-118.403658,33.998621,"2"
"1193",3,3,1526,1986,"0","0",-118.094516,34.683888,"2"
"2881",4,2,1644,1977,"0","0",-117.837411,34.113339,"2"
"19055",4,2,2232,1903,"0","0",-118.259452,34.019717,"2"
"17326",4,2,2090,1962,"0","0",-118.360383,33.812636,"1"
"10750",4,3,3066,1967,"0","0",-117.889139,34.053957,"1"
"17394",2,1,1687,1928,"0","0",-118.344676,34.043026,"2"
"14236",2,1,1364,1916,"0","0",-118.266607,34.083868,"2"
"16147",2,2,1107,1975,"0","0",-118.256,34.1672,"2"
"15746",2,1,804,1924,"0","0",-118.181836,34.128249,"2"
"19308",2,2,1382,1937,"0","0",-118.006058,34.085846,"2"
"11960",4,5,4708,2004,"0","0",-118.542489,34.140922,"1"
"2685",2,1,981,1947,"0","0",-118.310737,34.266013,"2"
"3344",3,2,1256,1954,"0","0",-118.130942,33.901034,"2"
